ID,Personas,User Group(s),User Stories,LLM Long-prompt identified,LLM Short-prompt verified,Human verified (by the team),LLM and Human Verification Match
FCAT-047,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to choose alert sounds for each client to quickly know who needs help without looking.,
As an older adult, I want to block all app updates and installations, so that I avoid unwanted changes and keep full control.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-048,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to manually control urgent alerts for each client to respect their privacy and respond properly.,
As an older person, I want to receive all social invitations and calls freely, so I can stay connected without limits.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-049,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to manually control urgent alerts for each client to respect their privacy and respond properly.,
As an older person who likes challenges, I want ALFRED to send alerts that keep me motivated without feeling too much.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-050,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to manually control urgent alerts for each client to respect their privacy and respond properly.,
As an older adult, I want to block all app updates and installations, so that I avoid unwanted changes and keep full control.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-052,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to accept all notifications at night but choose which are urgent, so I can stay responsive without missing important alerts.,
As an older person who likes challenges, I want ALFRED to send alerts that keep me motivated without feeling too much.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-053,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to accept all notifications at night but choose which are urgent, so I can stay responsive without missing important alerts.,
As an older adult, I want to block all app updates and installations, so that I avoid unwanted changes and keep full control.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-054,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver managing many clients, I want ALFRED to show urgent needs clearly so I can act fast without losing focus.,
As an older person, I want to receive all social invitations and calls freely, so I can stay connected without limits.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-055,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver managing many clients, I want ALFRED to show urgent needs clearly so I can act fast without losing focus.,
As an older person who likes challenges, I want ALFRED to send alerts that keep me motivated without feeling too much.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-056,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver managing many clients, I want ALFRED to show urgent needs clearly so I can act fast without losing focus.,
As an older adult, I want to block all app updates and installations, so that I avoid unwanted changes and keep full control.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-058,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to follow clients' wishes for interaction times, so I do not disturb their daily routine.,
As an older person who likes challenges, I want ALFRED to send alerts that keep me motivated without feeling too much.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-059,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to follow clients' wishes for interaction times, so I do not disturb their daily routine.,
As an older adult, I want to block all app updates and installations, so that I avoid unwanted changes and keep full control.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-061,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to control when clients send social invitations, so I can manage my time and avoid feeling too busy.,
As an older person who likes challenges, I want ALFRED to send alerts that keep me motivated without feeling too much.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-062,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to control when clients send social invitations, so I can manage my time and avoid feeling too busy.,
As an older adult, I want to block all app updates and installations, so that I avoid unwanted changes and keep full control.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-063,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to receive all notifications, including health updates and emotional prompts, so I can support my clients well.,
As an older person, I want to receive all social invitations and calls freely, so I can stay connected without limits.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-071,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to see each client’s use of ALFRED’s social features separately to respect their privacy and meet their care needs.,
As an older person, I want to share all my health data freely and in real time with my caregiver, so she always knows my health status.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-073,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to set therapy sessions for each client myself, so I can match their needs and respect their wishes.,
As an older person, I want all my health reminders and messages to stay active, so I can keep motivated and know about my health all the time.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-074,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to send gentle reminders to clients through ALFRED so they get ready for check-ins without feeling stressed.,
As an older person, I want all my health reminders and messages to stay active, so I can keep motivated and know about my health all the time.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-075,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver managing many clients, I want ALFRED to help me organize care tasks clearly so I don’t feel stressed or confused.,
As an older person, I want all my health reminders and messages to stay active, so I can keep motivated and know about my health all the time.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-076,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to play therapy games with my clients to help their health and enjoy time together.,
As an older person, I want to choose how to do therapy activities so I can enjoy hard challenges and feel free.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-077,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to choose which clients join simulation sessions so I can respect their wishes and care for them well.,
As an older person, I want to choose how to do therapy activities so I can enjoy hard challenges and feel free.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-078,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to see all my clients' activities clearly, so I can manage their care without getting confused.,
As an older person, I want to choose how to do therapy activities so I can enjoy hard challenges and feel free.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-079,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to help my clients choose therapy difficulty themselves so they feel independent and stay motivated.,
As an older person, I want to choose how to do therapy activities so I can enjoy hard challenges and feel free.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-080,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to set and see each client's available times, so I can plan care without disturbing them.,
As an older person, I want to choose how to do therapy activities so I can enjoy hard challenges and feel free.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-081,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want ALFRED to encourage clients during physical and mental challenges, so I can support their motivation and make care feel friendly.,
As an older person, I want ALFRED to challenge me with hard exercises and encourage me by video calls to stay motivated and improve my health.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-082,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to control social invitations from clients, so I can manage my time and avoid feeling overloaded.,
As an older person, I want ALFRED to challenge me with hard exercises and encourage me by video calls to stay motivated and improve my health.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-083,"P-006,
P-002","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to use ALFRED’s interactive features to help me connect deeply with my clients and support their wellbeing.,
As an older person, I want ALFRED to challenge me with hard exercises and encourage me by video calls to stay motivated and improve my health.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-084,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver I want to ask clients when they prefer video chats so I respect their time and comfort.,
As an older adult I want to refuse all interactive games and check-in calls, so I avoid difficult activities and feel safe.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-085,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to always get my clients' permission before starting video calls to respect their privacy and feelings.,
As an older adult I want to refuse all interactive games and check-in calls, so I avoid difficult activities and feel safe.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-086,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to control clients' social invitations, so I can protect their privacy and avoid too many requests.,
As an older adult I want to refuse all interactive games and check-in calls, so I avoid difficult activities and feel safe.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-087,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to schedule video check-ins only with clients who agree, so I respect their privacy and comfort.,
As an older adult I want to refuse all interactive games and check-in calls, so I avoid difficult activities and feel safe.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
FCAT-088,"P-006,
P-005","Caregivers and Medical Staff,
Older Adults","
As an informal caregiver, I want to decide how to respond to social invitations for my clients, so I can protect their wishes and avoid feeling too busy.,
As an older adult I want to refuse all interactive games and check-in calls, so I avoid difficult activities and feel safe.",CONFLICT,"INVALID CONFLICT
(NO CONFLICT)",NO CONFLICT,MATCHED
,,,,"LLM's short-
prompt verifying ",43% CONFLICT,Human check on LLM's short prompt verification,71% MATCHED
